Subject/Category,Course Name,Course code,Credit Hours,Course_level,Prerequisite,Corequisite,Offered,Description,Major Applicable to,Requirement_type
BIOL - Biology,Special Problems in Biology Honors,BIOL 390H,3,300,Honors with 3.0 GPA,None,,,,
BIOL - Biology,Undergraduate Research ,BIOL 391, 1 to 3,300,None,None,,,,
BIOL - Biology,Undergraduate Research ,BIOL 392,1 to 3,300,None,None,,,,
BIOL - Biology,Undergraduate Research ,BIOL 393,1 to 3,300,None,None,,,,
BIOL - Biology,Undergraduate Research ,BIOL 394,1 to 3,300,None,None,,,,
BIOL - Biology,Molecular Methods,BIOL 410,3,400,"BIOL 313, BIOL 313L or NSCI 361, NSCI 361L",BIOL 410L,,,,
BIOL - Biology,Molecular Methods Lab,BIOL 410L,1,400,"BIOL 313, BIOL 313L or NSCI 361, NSCI 361L",BIOL 410,,,,
BIOL - Biology,Introduction to Neurobiology,BIOL 420,3,400,"BIOL 221, BIOL 222, or Instructor Permission",BIOL 420L,,,,
BIOL - Biology,Introduction to Neurobiology Lab,BIOL 420L,1,400,"BIOL 221, BIOL 222, or Instructor Permission",BIOL 420,,,,
BIOL - Biology,Essential Developmental Biology,BIOL 440,3,400,"BIOL 101, BIOL 360 or BIOL 410",BIOL 440L,,,,
BIOL - Biology,Essential Developmental Biology Lab,BIOL 440L,1,400,"BIOL 101, BIOL 360 or BIOL 410",BIOL 440,,,,
BIOL - Biology,"Brain, Behavior and Neuropharmacology",BIOL 450,3,400,"BIOL 420, BIOL 420L",BIOL 450L,,,,
BIOL - Biology,"Brain, Behavior and Neuropharmacology Lab",BIOL 450L,1,400,"BIOL 420, BIOL 420L",BIOL 450,,,,
BIOL - Biology,Senior Seminar ,BIOL 497,1,400,None,None,,,,
BIOL - Biology,Senior Seminar,BIOL 498,1,400,None,None,,,,
CHEM - Chemistry,Experiments in General Chemistry I,CHEM 103,1,100,None,CHEM 113,,,,
CHEM - Chemistry,Experiments in General Chemistry II,CHEM 104,1,100,"CHEM 103, CHEM 113",CHEM 114,,,,
CHEM - Chemistry,General Chemistry I,CHEM 113,3,100,None,CHEM 103,,,,
CHEM - Chemistry,General Chemistry II,CHEM 114,3,100,"CHEM 103, CHEM 113",CHEM 104,,,,
CHEM - Chemistry,Experiments in Organic Chemistry I,CHEM 203,1,200,None,CHEM 233,,,,
CHEM - Chemistry,Experiments in Organic Chemistry II,CHEM 204,1,200,"CHEM 203, CHEM 233",CHEM 234,,,,
CHEM - Chemistry,Experiments in Organic and Analytical Chemistry,CHEM 206,2,200,"CHEM 233, CHEM 234",None,,,,
CHEM - Chemistry,Organic Chemistry I,CHEM 233,3,200,"CHEM 114, CHEM 104",CHEM 203,,,,
CHEM - Chemistry,Organic Chemistry II,CHEM 234,3,200,"CHEM 233, CHEM 234",CHEM 204 or CHEM 206,,,,
CHEM - Chemistry,Inorganic Chemistry ,CHEM 316,3,300,CHEM 342,None,,,,
CHEM - Chemistry,Physical Chemistry I,CHEM 341,3,300,"CHEM 114, MATH 120",CHEM 341L,,,,
CHEM - Chemistry,Physical Chemistry I Laboratory,CHEM 341L,1,300,"CHEM 114, MATH 120",CHEM 341,,,,
CHEM - Chemistry,Physical Chemistry II,CHEM 342,3,300,CHEM 341,CHEM 342L,,,,
CHEM - Chemistry,Physical Chemistry II Laboratory,CHEM 342L,1,300,CHEM 341,CHEM 342,,,,
CHEM - Chemistry,Senior Research I,CHEM 355,3,300,None,None,,,,
CHEM - Chemistry,Senior Research II,CHEM 356,3,300,None,None,,,,
CHEM - Chemistry,Chemical Colloquium,CHEM 401,0.5,400,None,None,,,,
CHEM - Chemistry,Chemical Colloquium,CHEM 402,0.5,400,None,None,,,,
CHEM - Chemistry,Chemical Literature,CHEM 450,1,400,None,None,,,,
CHEM - Chemistry,History and Philosophy of Chemistry,CHEM 457,1,400,None,None,,,,
CHEM - Chemistry,Analytical Chemistry,CHEM 470,3,400,CHEM 342,CHEM 470L,,,,
CHEM - Chemistry,Analytical Chemistry Laboratory,CHEM 470L,1,400,None,CHEM 470,,,,
CORE - Core Curriculum,New Student Orientation,CORE 100,1,100,None,None,,,,
CORE - Core Curriculum,Critical Thinking,CORE 120,2,100,None,None,,,,
CORE - Core Curriculum,Essential Mathematics for a Contemporary World,CORE 131,3,100,None,None,,,,
CORE - Core Curriculum,Essential Mathematics for a Contemporary World II,CORE 132,3,100,None,None,,,,
CORE - Core Curriculum,African American Heritage,CORE 140,3,100,None,None,,,,
CORE - Core Curriculum,Composition I,CORE 150,3,100,None,None,,,,
CORE - Core Curriculum,Composition II,CORE 160,3,100,CORE 150,None,,,,
CORE - Core Curriculum,Introduction to Business and Entrepreneurship,CORE 201,3,200,CORE 160,None,,,,
CORE - Core Curriculum,Introduction to Social Justice,CORE 210,3,200,None,None,,,,
CORE - Core Curriculum,The Creative Arts,CORE 220,3,200,None,None,,,,
CORE - Core Curriculum,Natural Science ,CORE 240,3,200,CORE 131,None,,,,
CORE - Core Curriculum,Humanities,CORE 260,3,200,CORE 160,None,,,,
CORE - Core Curriculum,The World and its Peoples,CORE 360,3,300,CORE 260,None,,,,
CRJ - Criminal Justice,Introduction to Criminal Justice,CRJ 200,3,200,None,None,,,,
CRJ - Criminal Justice,Police and Society,CRJ 210,3,200,CRJ 200,None,,,,
CRJ - Criminal Justice,Corrections,CRJ 220,3,200,CRJ 200,None,,,,
CRJ - Criminal Justice,Women and Crime,CRJ 260,3,200,None,None,,,,
CRJ - Criminal Justice,Research and Technology in Criminal justice,CRJ 300,3,300,"HSS 280, CRJ 200",None,,,,
CRJ - Criminal Justice,Crime Victims,CRJ 342,3,300,CRJ 200,None,,,,
CRJ - Criminal Justice,Comparative Criminal Justice,CRJ 365,3,300,CRJ 200,None,,,,
CRJ - Criminal Justice,Global Terrorism,CRJ 374,3,300,CRJ 200,None,,,,
CRJ - Criminal Justice,Cyber Security,CRJ 384,3,300,CRJ 200,None,,,,
CRJ - Criminal Justice,White Collar Crime,CRJ 385,3,300,CRJ 200,None,,,,
CRJ - Criminal Justice,Senior Seminar,CRJ 499,3,400,None,None,,,,
CSCI - Computer Science,Introduction to Computing,CSCI 100,3,100,None,None,,,,
CSCI - Computer Science,Introduction to Computer Science I,CSCI 110,3,100,MATH 110,CSCI 110L,,,,
CSCI - Computer Science,Introduction to Computer Science I Laboratory,CSCI 110L,1,100,None,CSCI 110,,,,
CSCI - Computer Science,Introduction to Computer Science II,CSCI 120,3,100,CSCI 110,CSCI 120L,,,,
CSCI - Computer Science,Introduction to Computer Science II Laboratory,CSCI 120L,1,100,None,CSCI 120,,,,
CSCI - Computer Science,Sophomore Seminar,CSCI 210,3,200,None,None,,,,
CSCI - Computer Science,Introduction to Computer Architecture,CSCI 230,3,200,CSCI 120,CSCI 230L,,,,
CSCI - Computer Science,Introduction to Computer Architecture Laboratory,CSCI 230L,1,200,None,CSCI 230,,,,
CSCI - Computer Science,Data Structures and Algorithms,CSCI 241,3,200,CSCI 120,CSCI 241L,,,,
CSCI - Computer Science,Data Structures and Algorithms Laboratory,CSCI 241L,1,200,None,CSCI 241,,,,
CSCI - Computer Science,Operating Systems,CSCI 261,3,200,"CSCI 230, CSCI 241",CSCI 261L,,,,
CSCI - Computer Science,Operating Systems Laboratory,CSCI 261L,1,200,None,CSCI 261,,,,
CSCI - Computer Science,Mathematical Modeling of Biological Systems,CSCI 280,3,200,None,CSCI 280L,,,,
CSCI - Computer Science,Mathematical Modeling of Biological Systems Laboratory,CSCI 280L,1,200,None,CSCI 280,,,,
CSCI - Computer Science,Programming Languages,CSCI 282,3,200,"CSCI 230, CSCI 241",CSCI 282L,,,,
CSCI - Computer Science,Programming Languages Laboratory,CSCI 282L,1,200,None,CSCI 282,,,,
CSCI - Computer Science,Bioinformatics I,CSCI 285,3,200,None,CSCI 285L,,,,
CSCI - Computer Science,Bioinformatics I Laboratory,CSCI 285L,1,200,None,CSCI 285,,,,
CSCI - Computer Science,Practical Tools for Bioinformatics,CSCI 286,3,200,MATH 110,None,,,,
CSCI - Computer Science,Theory of Computation,CSCI 291,3,200,"CSCI 241, MATH 125",None,,,,
CSCI - Computer Science,Junior Seminar,CSCI 310,1,300,None,None,,,,
CSCI - Computer Science,Database Management ,CSCI 312,3,300,CSCI 241,CSCI 312L,,,,
CSCI - Computer Science,Database Management Laboratory,CSCI 312L,1,300,None,CSCI 312,,,,
CSCI - Computer Science,Numerical Analysis,CSCI 320,3,300,"CSCI 120, MATH 130",None,,,,
CSCI - Computer Science,Computer Networks and Distributed Systems ,CSCI 360,3,300,CSCI 230,None,,,,
CSCI - Computer Science,Software Engineering,CSCI 370,3,300,CSCI 241,None,,,,
CSCI - Computer Science,Machine Learning,CSCI 380,3,300,"CSCI 241, MATH 130, MATH 240",CSCI 380L,,,,
CSCI - Computer Science,Machine Learning Laboratory,CSCI 380L,1,300,None,CSCI 380,,,,
CSCI - Computer Science,Special Topics ,CSCI 390,3 to 4,300,None,None,,,,
CSCI - Computer Science,Special Topics: Machine Learning for Social Sciences,CSCI 390M,3,300,None,None,,,,
CSCI - Computer Science,Independent Study ,CSCI 398,1 to 4,300,None,None,,,,
CSCI - Computer Science,Senior Seminar I,CSCI 411,2,400,None,None,,,,
CSCI - Computer Science,Senior Seminar II,CSCI 412,2,400,None,None,,,,
ECON - Economics,Principles of Microeconomics,ECON 230,3,200,MATH 101,None,,,,
ECON - Economics,Principles of Macroeconomics,ECON 240,3,200,MATH 101,None,,,,
ECON - Economics,Foundations of Financial Economics,ECON 300,2,300,"BAD 200, BAD 260, ECON 230, ECON 240",,,,,
ECON - Economics,Managerial Economics,ECON 330,3,300,"ECON 230, MATH 101, BAD 260",,,,,
ECON - Economics,Macroeconomic Analysis,ECON 340,3,300,"ECON 240, BAD 200 or MATH 120",,,,,
ECON - Economics,Microeconomic Analysis,ECON 340A,3,300,ECON 230,None,,,,
ECON - Economics,International Economics,ECON 350,3,300,"ECON 230, ECON 240",None,,,,
ECON - Economics,Introduction to Econometrics,ECON 370,3,300,"ECON 230, ECON 240, BAD 200, BAD 260",,,,,
ECON - Economics,Topics in Economics,ECON 400,1 to 4,400,"ECON 330, ECON 340",None,,,,
ECON - Economics,Business Ethics,ECON 400R,3,400,"ECON 330, ECON 340",None,,,,
ECON - Economics,Economics of Development,ECON 450,3,400,"ECON 230, ECON 240",None,,,,
EDUC - Education,Elementary Health and Physical Activity,EDUC 100,3,100,None,None,,,,
EDUC - Education,Educational Psychology,EDUC 248,3,200,None,None,,,,
EDUC - Education,Fundamental Responsibilities of Teaching ,EDUC 250,1,200,None,None,,,,
